teamID;W;L;R;Avg;2B;3B;HR;BB;SO;SB;RA;ERA;CG;SV;HA;HRA;BBA;SOA;E
MIN1997;68;94;772;0.2701455449;305;40;132;495;1121;151;861;5.02;10;30;1596;187;495;908;100
ML41997;78;83;681;0.2599191771;294;27;135;494;967;103;742;4.22;6;44;1419;177;542;1012;125
NYA1997;96;66;891;0.2865148862;325;23;161;676;954;99;688;3.84;11;51;1463;144;532;1165;105
OAK1997;65;97;764;0.259617105;274;23;197;642;1181;71;946;5.49;2;38;1734;197;642;953;121
SEA1997;90;72;925;0.2803705023;312;21;264;626;1110;89;833;4.79;9;38;1500;192;598;1207;123
TEX1997;77;85;807;0.2737568572;311;27;187;500;1116;72;823;4.68;8;33;1598;169;541;925;122
TOR1997;76;86;654;0.2435592911;275;41;147;487;1138;134;694;3.92;19;34;1453;167;497;1150;97
ATL1997;101;61;791;0.269536903;268;37;174;597;1160;108;581;3.18;21;37;1319;111;450;1196;114
CHN1997;68;94;687;0.2630715977;269;39;127;451;1003;116;759;4.44;6;37;1451;185;590;1072;115
CIN1997;76;86;651;0.2527352298;269;27;142;518;1113;190;764;4.42;5;49;1408;173;558;1159;106
COL1997;83;79;923;0.2875245404;269;40;239;562;1060;137;908;5.25;9;38;1697;196;566;870;111
FLO1997;92;70;740;0.2592388307;272;28;136;686;1074;115;669;3.83;12;39;1353;131;639;1188;119
HOU1997;84;78;777;0.2593602326;314;40;133;633;1085;171;660;3.67;16;37;1379;134;511;1138;131
LAN1997;88;74;742;0.2683982684;242;33;174;498;1079;131;645;3.63;6;45;1325;163;546;1232;116
MON1997;78;84;691;0.2575099529;339;34;172;420;1084;75;740;4.14;27;37;1365;149;557;1138;131
NYN1997;88;74;777;0.2621288921;274;28;153;550;1029;97;709;3.95;7;49;1452;160;504;982;117
PHI1997;68;94;668;0.2553738747;290;35;116;519;1032;92;840;4.87;13;35;1441;171;616;1209;105
PIT1997;79;83;725;0.2616754498;291;52;129;481;1161;160;760;4.28;6;41;1503;143;560;1080;131
SDN1997;76;86;795;0.270814762;275;16;152;604;1129;140;891;4.99;5;43;1581;172;596;1059;125
SFN1997;90;72;784;0.257976299;266;37;172;642;1120;121;793;4.41;5;45;1494;160;578;1044;120
SLN1997;73;89;689;0.2550687907;269;39;144;543;1191;164;708;3.9;5;39;1422;124;536;1130;123
ANA1998;85;77;787;0.2717584369;314;27;147;510;1028;93;783;4.49;3;52;1481;164;630;1091;106
BAL1998;79;83;817;0.2731356694;303;11;214;593;903;86;785;4.73;16;37;1505;169;535;1065;81
BOS1998;92;70;876;0.2799500089;338;35;205;541;1049;72;729;4.19;5;53;1406;168;504;1025;105
CHA1998;80;82;861;0.2714413608;291;38;198;551;916;127;931;5.24;8;42;1569;211;580;911;140
CLE1998;89;73;850;0.2724358974;334;30;198;630;1061;143;779;4.45;9;47;1552;171;563;1037;110
DET1998;65;97;722;0.2637711864;306;29;165;455;1070;122;863;4.93;9;32;1551;185;595;947;115
KCA1998;72;89;714;0.2630724847;274;40;134;475;984;135;899;5.16;6;46;1590;196;568;999;125
MIN1998;70;92;734;0.2657330261;285;32;115;506;915;112;818;4.76;7;42;1622;180;457;952;108
NYA1998;114;48;965;0.2879673932;290;31;207;653;1025;153;656;3.82;22;48;1357;156;466;1080;98
OAK1998;74;88;804;0.2573770492;295;13;149;633;1122;131;866;4.83;12;39;1555;179;529;922;141
SEA1998;76;85;859;0.27594172;321;28;234;558;1081;115;855;4.95;17;31;1530;196;528;1156;125
TBA1998;63;99;620;0.2610261026;267;43;111;473;1107;120;751;4.35;7;28;1425;171;643;1008;94
TEX1998;88;74;940;0.2886107193;314;32;201;595;1045;82;871;5;10;46;1624;164;519;994;122
TOR1998;88;74;816;0.2655913978;316;19;221;564;1132;184;768;4.29;10;47;1443;169;587;1154;125
ARI1998;65;97;665;0.2464032052;235;46;159;489;1239;73;812;4.64;7;37;1463;188;489;908;100
ATL1998;106;56;826;0.2715171408;297;26;215;548;1062;98;581;3.25;24;45;1291;117;467;1232;91
CHN1998;90;73;831;0.2644715879;250;34;212;601;1223;65;792;4.5;7;56;1528;180;575;1207;101
CIN1998;77;85;750;0.2621906841;298;28;138;608;1107;95;760;4.44;6;42;1400;170;573;1098;122
COL1998;77;85;826;0.2911931818;333;36;183;469;949;67;855;5;9;36;1583;174;562;951;102
FLO1998;54;108;667;0.2484706729;277;36;114;525;1120;115;923;5.2;11;24;1617;182;715;1016;129
HOU1998;102;60;874;0.2797376352;326;28;166;621;1122;155;620;3.5;12;44;1435;147;465;1187;108
LAN1998;83;79;669;0.2516944495;209;27;159;447;1056;137;678;3.81;16;47;1332;135;587;1178;134
MIL1998;74;88;707;0.2597004151;266;17;152;532;1039;81;812;4.63;2;39;1538;188;550;1063;110
MON1998;65;97;644;0.2488002953;280;32;147;439;1058;91;783;4.39;4;39;1448;156;533;1017;155
NYN1998;88;74;706;0.2586206897;289;24;136;572;1049;62;645;3.77;9;46;1381;152;532;1129;101
PHI1998;75;87;713;0.2638419085;286;36;126;508;1080;97;808;4.64;21;32;1476;188;544;1176;110
PIT1998;69;93;650;0.2539595849;271;35;107;393;1060;159;718;3.91;7;41;1433;147;530;1112;140
SDN1998;98;64;749;0.2531876138;292;30;167;604;1072;79;635;3.63;14;59;1384;139;501;1217;104
SFN1998;89;74;845;0.2736318408;292;26;161;678;1040;102;739;4.19;6;44;1457;171;562;1089;101
SLN1998;83;79;810;0.2581798677;292;30;223;676;1179;133;782;4.32;6;44;1513;151;558;972;142
ANA1999;70;92;711;0.2555515107;248;22;158;511;1022;71;826;4.79;4;37;1472;177;624;877;106
BAL1999;78;84;851;0.2788717403;299;21;203;615;890;107;815;4.77;17;33;1468;198;647;982;89
BOS1999;94;68;836;0.2780068113;334;42;176;597;928;67;718;4;6;50;1396;160;469;1131;127
CHA1999;75;86;777;0.2769312544;298;37;162;499;810;110;870;4.92;6;39;1608;210;596;968;136
CLE1999;97;65;1009;0.2891373802;309;32;209;743;1099;147;860;4.9;3;46;1503;197;634;1120;106
DET1999;69;92;747;0.2614486408;289;34;212;458;1049;108;882;5.18;4;33;1528;209;583;976;106
KCA1999;64;97;856;0.2816500711;294;52;151;535;932;127;921;5.35;11;29;1607;202;643;831;125
MIN1999;63;97;686;0.2638762511;285;30;105;500;978;118;845;5.02;12;34;1591;208;487;927;92
NYA1999;98;64;900;0.2816091954;302;36;193;718;978;104;731;4.13;6;50;1402;158;581;1111;111
OAK1999;87;75;893;0.2591049103;287;20;235;770;1129;70;846;4.69;6;48;1537;160;569;967;122
SEA1999;79;83;859;0.2690236899;263;21;244;610;1095;130;905;5.24;7;40;1613;191;684;980;113
TBA1999;69;93;772;0.2740780523;272;29;145;544;1042;73;913;5.06;6;45;1606;172;695;1055;135
TEX1999;95;67;945;0.2925145992;304;29;230;611;937;111;859;5.07;6;47;1626;186;509;979;119
TOR1999;84;78;883;0.2800425381;337;14;212;578;1077;119;862;4.92;14;39;1582;191;575;1009;106
ARI1999;100;62;908;0.276776246;289;46;216;588;1045;137;676;3.77;16;42;1387;176;543;1198;104
ATL1999;103;59;840;0.2659364338;309;23;197;608;962;148;661;3.63;9;45;1398;142;507;1197;111
CHN1999;67;95;747;0.2573878147;255;35;189;571;1170;60;920;5.27;11;32;1619;221;529;980;139
CIN1999;96;67;865;0.2719065321;312;37;209;569;1125;164;711;3.99;6;55;1309;190;636;1081;105
COL1999;72;90;906;0.2876137159;305;39;223;508;863;70;1028;6.02;12;33;1700;237;737;1032;118
FLO1999;64;98;691;0.2626389387;266;44;128;479;1145;92;852;4.9;6;33;1560;171;655;943;127
HOU1999;97;65;823;0.2667274385;293;23;168;728;1138;166;675;3.84;12;48;1485;128;478;1204;106
LAN1999;77;85;793;0.2658523442;253;23;187;594;1030;167;787;4.45;8;37;1438;192;594;1077;137
MIL1999;74;87;815;0.2730204228;299;30;165;658;1065;81;886;5.07;2;40;1618;213;616;987;127
MON1999;68;94;718;0.2649757151;320;47;163;438;939;70;853;4.69;6;44;1505;152;572;1043;160
NYN1999;97;66;853;0.2787150036;297;14;181;717;994;150;711;4.27;5;49;1372;167;617;1172;68
PHI1999;77;85;841;0.2749196141;302;44;161;631;1081;125;846;4.93;11;32;1494;212;627;1030;100
